2026-04-15 16:06:25,008 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:06:25,008 | WARNING | aiogram.dispatcher | Sleep for 2.493697 seconds and try again... (tryings = 3, bot id = 8696591670)
2026-04-15 16:06:27,602 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:06:27,602 | WARNING | aiogram.dispatcher | Sleep for 2.892630 seconds and try again... (tryings = 4, bot id = 8696591670)
2026-04-15 16:06:33,596 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:06:33,596 | WARNING | aiogram.dispatcher | Sleep for 3.109549 seconds and try again... (tryings = 4, bot id = 8696591670)
2026-04-15 16:06:36,816 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:06:36,817 | WARNING | aiogram.dispatcher | Sleep for 3.733144 seconds and try again... (tryings = 5, bot id = 8696591670)
2026-04-15 16:06:40,653 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:06:40,654 | WARNING | aiogram.dispatcher | Sleep for 3.881348 seconds and try again... (tryings = 5, bot id = 8696591670)
2026-04-15 16:06:44,643 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:06:44,643 | WARNING | aiogram.dispatcher | Sleep for 4.876305 seconds and try again... (tryings = 6, bot id = 8696591670)
2026-04-15 16:06:49,631 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:06:49,632 | WARNING | aiogram.dispatcher | Sleep for 5.022028 seconds and try again... (tryings = 6, bot id = 8696591670)
